model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,851.9199999999995,1077.1099999999997,1302.3300000000004,1478.8500000000004,1556.670000000001,1511.9700000000012,1554.8249999999998,1584.2200000000012,1630.17,1544.0900000000001,1552.0249999999987,1608.3199999999997,1535.5799999999995,1461.6100000000006,1509.3500000000004,1432.1099999999997,1465.7150000000001,1433.5699999999997,1459.3700000000008,1466.18,1495.895,1529.68,1510.895,1534.18
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,793.2299999999996,1135.869999999999,1157.8950000000004,1410.8500000000004,1550.8499999999995,1574.0699999999997,1516.7200000000003,1471.25,1472.2799999999997,1425.5200000000004,1361.5149999999999,1330.6299999999992,1522.5550000000003,1463.5900000000001,1497.5749999999994,1462.0900000000001,1522.9400000000005,1493.8799999999992,1419.625,1424.18,1460.0200000000023,1513.8199999999997,1496.1650000000009,1557.1299999999974
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,1014.3231354660502,1129.7994773544906,984.0758634947767,1049.0059211571242,1413.0406119113522,1596.624173235672,2084.9413346000374,1712.4697797762365,1633.9726682249343,1451.4667326434928,1673.8680350340828,1327.943350716776,1675.1173904614297,1581.8212042881387,1615.5165533317559,1534.0674548115421,1505.6590371680081,1408.348540392968,1619.1862486254647,1654.3956350725016,1611.500651181701,1429.373196168257,1261.0713240523564,1493.3982498344521
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,1081.9291308775355,967.6279872905197,1112.023233309852,1055.5404499084034,1086.4975185742683,1293.8318080498682,1209.4703896712708,1123.4310818100366,1349.821496828963,1373.0489502798519,1423.5874607263836,1468.201952035987,1558.0867310233643,1544.4352719419912,1565.1438659524529,1403.8983201057536,1314.3078212619694,1282.7012740941782,1291.972824956752,1345.581663470277,1471.463745730558,1375.031786273772,1362.9059253411983,1485.9795391834887
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,median,739.432962807587,1139.249732395263,1152.564613251292,1133.3554370458469,1190.2559680532431,1281.1315351082721,1371.4216050003956,1363.3193577772727,1368.678808098201,1334.2048280273893,1383.407813430711,1325.2979191516624,1392.1870012593135,1297.027911336369,1411.5557783037984,1526.428618360289,1454.1891917665562,1418.6828524295925,1356.0633274986026,1384.6471649772457,1393.383817280714,1433.381235191635,1436.5858126203152,1439.13051978941
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,median,783.082819196107,840.9229016055142,1357.11800921543,1534.9291837408819,1469.1948225340238,1382.8378959653453,1509.8525366619488,1563.5881000962436,1472.0326206481268,1417.5216689065091,1374.970266940395,1374.0451013240345,1402.9010215082762,1454.3692724509401,1438.6732054003041,1420.8528110740617,1408.4123111868066,1459.95006577011,1406.858882418721,1513.3594794808414,1465.7995639255532,1452.4648047723676,1501.756823613292,1485.11883113375
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,median,711.9015106863179,1005.5399707347897,1230.6650796726317,1307.663764270692,1330.9819358592003,1378.3401795051996,1355.8503324661176,1380.465924934367,1489.5118068618585,1436.6627504978924,1468.0630107273187,1378.615591425567,1496.480876528898,1453.4114254318556,1446.2182063408368,1553.7814870039074,1442.5040948178103,1458.8636288958314,1422.6310137842233,1455.3325566164385,1488.188535272061,1480.3360135216608,1496.2947749411505,1495.0159115442148
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,median,736.946608095914,944.9970652128104,1166.0331234313835,1334.6494730689355,1428.0043848634941,1450.2662927748024,1438.1198565143245,1411.2364396752134,1526.070198043194,1463.6614046930072,1423.9551666200896,1383.5909297048784,1355.306437433649,1350.3359298732448,1414.1705331533958,1355.6859727648034,1377.9550524283404,1301.2038645164794,1383.694950462591,1361.3936330587694,1491.2149654347427,1444.73547452875,1464.1444323159403,1482.0237539191949
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,median,722.7239089744271,1036.590203322411,1225.3139263186667,1456.7406599101378,1458.9795147503764,1556.9169322626549,1508.1308622150816,1460.4899019082914,1482.95271689816,1491.0246067902826,1407.0705568208468,1452.4580148062014,1479.3866624597176,1508.7876008530984,1444.2796367209412,1377.1137814598114,1404.096588160181,1427.8562905939307,1406.5750432822251,1412.908902049905,1445.4427894473283,1456.5103756707285,1538.377972820318,1599.9738278077693
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,median,718.0487350646495,956.6727801853617,1198.5270555025172,1424.6017030037183,1553.132926932808,1513.9745627235989,1498.0886926950943,1536.2928448881394,1598.025145077826,1455.241979745152,1506.0566083090662,1387.3860350583673,1515.4332592850606,1385.8441665997589,1462.2490007961346,1441.8081046102334,1387.3901092261794,1386.7006945250785,1407.7053879654316,1432.2106102263172,1428.6534426191029,1490.2416471928918,1545.0883486748849,1592.4863812390122
PARp-A_w_2,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,median,694.6136784766682,931.447881402707,1264.127141860271,1339.1640505024152,1440.8086677392866,1581.8942619320806,1523.5375539222414,1524.9517553409923,1584.9417034027902,1551.844805036082,1449.1713712696328,1514.557873072663,1560.0485718853924,1444.337207416435,1419.0740729946433,1405.7374953919552,1470.8842783396153,1404.516700776769,1410.669405378062,1425.7338827518522,1532.2014190230416,1504.1400569953803,1593.1995537900884,1738.6781079930806
PARp-A_w_4,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,median,798.6069635681287,892.7404400220521,1347.6294989291273,1340.1521297426416,1566.5788780779353,1558.4305832267055,1539.724867452775,1484.929448182253,1602.564452427359,1733.6782981100114,1632.8755572155906,1377.5646722364181,1445.7752507694731,1598.685446927495,1499.1390379221539,1535.845346947166,1607.0000479992004,1542.2981899835431,1472.5461654712076,1438.7310001044134,1585.8958848253824,1744.8751299395444,1699.6783039962456,1678.8424579855455
PARp-A_w_11,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SeasonalNaive,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SeasonalNaive,median,1840.0500000000006,1666.6500000000005,1639.6950000000002,1612.74,1611.9899999999998,1611.2399999999998,1517.745,1424.25,1517.745,1611.2399999999998,1611.9899999999998,1611.2399999999998,1881.9899999999998,1804.96,1787.04,1769.12,1709.105000000001,1769.12,1787.04,1804.96,1881.9899999999998,1959.0199999999995,1967.8899999999999,1976.7600000000002
SeasonalNaive,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARIMA,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARIMA,median,798.7429857125912,998.2796124456472,1547.3386902127395,1500.8622583809956,1177.2762274954748,1281.497852871893,1495.7309229279617,1152.4234910866016,1548.6313528124465,1645.554614013914,1515.1170572456654,1696.6212561601933,1686.7182089208154,2037.077725027175,1980.5721586102954,1764.3751156912258,1506.7954723724338,1745.2671610378338,1732.6386294572917,1722.6386214312397,1695.918546311178,1551.7711106302468,1516.7121600428177,1755.3647829848273
SARIMA,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StructuralModel,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StructuralModel,median,700.7991938057621,1129.7312603789678,1306.8025455334814,1410.738655562156,1608.5993751413134,1761.1352644763228,1967.9659668631775,1732.1224425539203,1738.7634264720868,1794.8973495567552,1654.1298900341362,1542.7875115746356,1620.383636514714,1974.1927450649246,1782.141330692763,1724.1283165462319,2158.0426976546064,1903.7100944872109,2274.9453924543614,2206.959906494256,1941.5402908208807,1938.3312880586982,1793.8126846981438,1954.7784580252992
StructuralModel,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScoreDrivenModel,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScoreDrivenModel,median,3336.497347380379,3236.0209680437474,3486.9438417776014,2977.2279356010977,3346.765228822783,2994.2847248219687,3406.9590833807474,3055.217268738619,3509.1462635501307,3429.978739833763,3215.722628532,2966.1926748008955,2918.5153233250976,3408.4502705141304,3621.1381580850298,3524.425939426048,3443.6302312589733,3393.4281953293275,3904.5532406022694,3624.8645750082296,3630.471000349009,3411.154213824124,3197.079448826935,3769.660174210523
ScoreDrivenModel,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonthlyMedian,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
