model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,3892.41024016875,4544.52856644654,4890.128100446202,4901.426511308917,4841.01659191827,4902.987083172579,4966.314567243506,5011.0522362614365,5237.139178325658,5200.721334809603,5230.924413751666,5354.890239540268,5336.9701799780405,5348.123657472789,5397.122490726027,5425.963310084482,5389.428007300347,5481.2916262552435,5378.9930367640845,5506.161187641845,5633.547472644642,5745.368407764388,5720.860041418478,5605.2397686824825
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,3834.618361039063,4460.962860562892,4777.532089509494,4768.449975399682,4740.26921468109,4814.207776949999,4862.270114155845,4903.28654973366,5113.719023756578,5094.954878096027,5127.270879366667,5256.594632179529,5253.134676721282,5262.346754874149,5314.205387962328,5376.805847582758,5349.291616352429,5464.312871503497,5379.080537367958,5502.642900781914,5616.993956294643,5710.104951883093,5695.494572605073,5597.107483802919
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,6857.772497637379,7597.874225765272,7207.858349189794,6769.553477147303,6060.207060044738,5863.977215990638,5759.915668566364,5958.318110910096,5752.703663952095,5616.640123509115,5517.24227443039,5701.527188552865,5804.297633110033,5662.383140789611,5525.035198054666,5528.254741795896,5529.99958856404,5600.175145854165,5581.676824071117,5613.08970222079,5650.547214737251,5574.062019708611,5460.232470137636,5317.432015059598
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,4790.6931082399315,5438.579146062534,5878.747612897211,5732.357621951767,5649.341114710908,5807.396741961761,5707.2712825487815,5845.3019749113855,5893.111085376627,5834.346927217484,5827.891449833426,5790.900672110408,5950.531318951341,5957.829739624871,5950.702118662094,5996.100697956956,5975.171125067945,6013.669088977456,5996.034173930295,5972.086923528959,5914.722559335672,5981.915997347578,6045.165723446546,6023.48443493041
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,4742.811124869047,5682.533036122377,6122.169448057463,5921.328624678721,5750.3087329239115,6021.005883298758,5919.316594161756,5990.8506165209155,6061.432045201507,6077.066116260136,6162.618711350857,6248.795747003316,6383.261967596586,6374.757027897821,6365.610888926038,6462.626000207896,6464.72741309723,6534.301491152676,6561.31190863805,6530.255964536046,6479.579509684447,6584.869851307925,6692.744313080452,6674.940651610287
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,4257.810764030978,4947.515488877697,5382.4431118236125,5454.985012390933,5447.629856632992,5554.6224079511785,5437.60108085449,5388.146614747255,5425.0157442366035,5430.783602080284,5419.096734192113,5497.031567591401,5612.137113239749,5671.8805913387605,5667.582507988559,5760.1883109159635,5771.723032171681,5856.749420265609,5862.025944289909,5821.504580348112,5778.903364589536,5868.562560252021,5954.467403646251,5965.157327716108
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,4249.359998409816,4891.460371151163,5401.695676343257,5403.904832668258,5338.081332971559,5417.980739750715,5269.424921077579,5220.993098080238,5229.537379385482,5272.306026534384,5322.063120469727,5376.45838026895,5461.689365429824,5476.0705711753,5448.741861028088,5524.108472933751,5521.902352730083,5596.471889121107,5603.319082718866,5571.332831856916,5521.759024765172,5590.981407908152,5670.03833805856,5686.781593953102
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,mean,4148.652751974131,4691.996107883067,5063.762387907266,5050.157375978555,5031.938120194081,5184.308675606776,5044.310001375984,5019.272724920586,5055.649165283969,5075.6332307526,5063.152173548399,5121.976757515547,5207.802688461332,5219.234683602599,5217.237389365597,5277.876098353932,5289.961690791355,5386.162861186372,5383.581809970558,5331.153003514775,5277.737986568878,5320.404037319824,5377.323493675317,5386.193241261571
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
