model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,364.11300000000006,551.431,789.6745000000001,1154.3545,1391.4434999999999,1732.5004999999996,1755.8097500000001,1886.1724999999997,1985.29,2107.2365000000004,2232.95125,2280.5935,2374.5275,2522.8819999999996,2539.6275,2542.603,2473.93475,2380.589,2487.139,2620.9955,2682.36,2718.8795,2746.31375,2746.532
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,195.0637499999998,356.54050000000007,470.59575000000007,664.1364999999998,936.6237500000003,1068.2475000000002,1144.5875,1275.0835000000002,1441.5022500000007,1442.9844999999996,1537.4740000000002,1603.9019999999998,1622.60675,1729.1770000000006,1763.766,1817.3015000000003,1790.22475,1915.67,1968.4237499999997,2129.4644999999996,2251.16125,2319.4855,2419.85275,2461.7325
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,230.67366515202536,309.6120105704399,341.82573512582053,486.49775246506033,607.4695334008131,629.5786975516071,941.7497704372371,992.1921078365745,1002.5210705251478,1034.212034538611,944.9960759203045,1000.685221209859,1092.1824148670773,1055.906045307499,1122.985033589066,1117.3603795942704,1130.1701567088012,1131.4763857874823,1171.0956845676092,1147.4698503448108,1119.021673177479,1128.3400286715573,1087.9921671606626,1108.7496908414184
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,200.26260281723455,331.32901576260156,337.816158832813,428.88616486446335,587.4023919149483,676.9189047005805,862.3981723439192,973.7064779287407,1010.9334089437875,1087.7698843968997,1096.989620810959,1158.0255841758121,1187.7960572207935,1227.448051830544,1283.0616251493338,1243.603019343137,1246.9118821035206,1328.1505553570605,1388.6249076369527,1476.5114142971297,1436.6131387819387,1442.3352792636456,1487.3750216873452,1523.2573180187603
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,median,189.53203166395167,310.4783855590649,432.13973327185727,615.5202021772614,761.159102440772,926.8956080151609,955.8423637728326,1007.1756052957826,1075.5046111223344,1091.0076810437943,1086.8181508965422,1125.319962298706,1262.3373871154054,1394.6835693526314,1352.9604155327825,1388.4615646840425,1367.745999671447,1414.6489704396568,1515.4407829023112,1569.2581742549876,1532.9945760541113,1496.0846418249487,1602.6490164810707,1683.8369425530898
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,median,182.71245360925764,297.103538225949,432.98619255098504,530.4583292469006,707.7202447920318,802.1607118450083,866.4113085466597,971.5517648805317,1031.4959470270492,1059.847473629854,1086.8069319281947,1128.9257817036294,1252.5013378424287,1363.3932860924497,1412.786954552272,1403.0372685821962,1338.2894824681084,1415.4088029638813,1521.4430112953403,1550.6714093404285,1637.0920932858417,1598.152670311284,1751.0511010953378,1737.2147304265893
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,median,163.34051679130346,360.6247592826694,495.737300885458,568.6586778578624,741.6236603183112,953.5931594497802,969.8491015623063,914.1806465684983,971.5659403403671,1086.1059170175852,1114.2839470996732,1191.002128826498,1272.3016900650487,1343.3010312039023,1392.5996057367647,1459.3256611552688,1408.8369892104606,1478.7025787881066,1552.9623273888153,1597.8370957014422,1643.8061366980905,1762.4092810300272,1769.7680940445457,1761.2787104474999
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,median,220.663911498909,351.38129773462833,474.7784896451161,679.1427427282872,837.8605053152627,1089.2647602146774,1103.8550868844225,1171.2708951808818,1172.1617693289963,1267.2671135161343,1320.631293129918,1357.4609217396628,1476.8620003478882,1606.6038708151175,1612.314193914398,1626.0634413043513,1636.7755340009785,1705.1743399150064,1744.3178740985677,1807.255623954503,1962.9562034718342,2021.388458186866,2099.422709906702,2121.971504964
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,median,193.10412714317124,284.06890798865675,496.4178153240648,592.5505072024373,872.5966893890417,1057.5287473407254,1124.045807771963,1195.8727257502078,1287.1175372449457,1271.4172307807528,1302.8303524194753,1345.870118784771,1507.4515198060783,1525.957563724798,1597.32361492394,1669.1812862188187,1670.9441486925061,1695.8835677185402,1804.054507405323,1907.3148531389888,1967.2815255858134,2009.9146862605103,2109.2598531730714,2135.9233049563595
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
