model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,835.0976811250002,1156.0320757499996,1214.3374468749994,1255.5150657500005,1288.978586625,1313.0905954999994,1330.7680657500005,1273.046865,1355.5383217500003,1421.5763827500007,1380.9899342499998,1345.72539375,1371.275219875,1384.1733669999999,1369.29317125,1371.3083912499997,1362.1733712499995,1307.1548619999999,1309.2744772499998,1313.19818925,1350.0602119999999,1417.40595225,1384.975075375,1409.9424489999997
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,833.476621875,1162.4002787499999,1227.6889246249998,1271.6086062499994,1309.8259867500003,1329.87075025,1216.617809875,1235.9386224999998,1297.1518441249998,1342.48587275,1375.740474375,1340.44216175,1336.9336511249999,1381.0151612499992,1369.2391267499997,1375.9595039999995,1383.3256118749996,1335.1070974999998,1339.2319911249997,1353.6777714999998,1346.831150125,1382.4193887500003,1376.826304625,1413.1819329999998
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,773.8019984010928,921.3556963203495,854.9353188303348,976.60085828437,1110.6868370741972,1324.867876473209,1421.8604616877114,1424.370407499088,1356.3134000546886,1381.984650128105,1382.7870988191753,1297.3124397346894,1410.1545214473915,1440.6854480863499,1395.1963352910434,1434.1814805807985,1380.7368525646257,1338.202281902331,1405.3467111603427,1293.2853266321652,1334.2906267781957,1272.8122202323823,1383.1924102105022,1364.5266152789798
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
