model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,1554.4495545,1813.8480237499998,2005.8875705,1955.8572294999997,1817.021757,1890.0251829999997,1996.2834254999998,2007.8373407499996,2067.955782125,1953.3837159999996,2021.6365366249997,1950.2217577499996,2032.3550699999996,2087.9675239999992,2073.8930731250002,2086.79331,2099.6010459999998,2069.2778237499992,2104.3656054999997,2109.7091917499997,2132.60846675,2154.437609499999,2142.3344522499992,2115.615852
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,1612.6655598749999,1865.226487,1922.9371016249997,1949.01043225,1874.9634407499998,1939.0158717499996,1964.9460143749998,1976.767322,2015.8783047499999,2006.94770675,2046.936050875,1934.5091459999999,1955.0438116249998,2020.1917527499998,1978.757744125,2031.9802295,2089.32192925,2032.439412,2112.854128375,2117.1363295,2143.0305458749995,2138.5230105,2147.506328,2123.10944175
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,2456.775373738787,2791.1470443472,3048.9852995332312,3065.865462688566,2724.3667444337743,2431.348537513537,2699.561875013821,2751.148218510023,2435.6874264590515,2475.2260557796753,2439.3411727732046,2421.177965823146,2289.7255482747178,2259.6101659657365,2211.4182283984965,2295.5125837170103,2253.359006627179,2264.597879549988,2309.219124439205,2332.2542344627373,2268.99070598492,2259.0967397228355,2262.7433622518424,2349.1169397099184
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
