model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,3382.369999999999,4486.220000000001,5480.069999999998,5701.43,5048.924999999999,5024.0999999999985,4757.409999999998,5099.279999999999,5731.620000000001,5579.019999999997,5148.504999999999,5606.640000000001,5861.150000000001,5642.019999999997,5636.594999999999,5682.66,5610.324999999997,5836.9000000000015,5839.09,5867.080000000002,5907.405000000001,6071.91,6076.495000000001,5904.41
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,3399.645000000004,4414.779999999999,5111.459999999997,5080.5899999999965,4899.485000000004,4388.919999999998,4547.655000000001,4878.2800000000025,5342.845000000001,5421.779999999999,5047.805,5351.290000000001,5225.869999999999,5188.580000000002,5401.989999999998,5766.359999999997,5895.595000000003,5842.140000000001,5961.620000000001,6321.43,6408.499999999996,6250.9100000000035,6203.845000000001,6241.569999999992
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,6111.695737449618,6091.657546132239,6311.458490536272,6902.52057964386,6358.821955702102,5695.28979011011,5812.9570171023215,5953.725830690608,5780.3154586773,5958.335076400814,6154.813610942361,6169.771458154079,5869.12041846491,5040.343346090602,5506.736584086799,6031.917444842751,6124.3304810222635,6153.705145342043,5727.635027464828,6025.665445809847,6258.367309778587,5730.091845269404,5272.660919019112,5617.589417539311
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
