model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,3827.9203246075745,4475.90788404268,4829.8501173711675,4867.5545568827165,4845.2616235388205,4936.782821915624,5030.649517750001,5096.090784776899,5335.754929847134,5305.653266883012,5334.248471437098,5463.6093411120155,5447.486603867647,5465.136935287827,5516.727549481788,5545.278730361669,5507.36657129866,5596.289172597972,5492.880692068026,5617.519131785961,5745.588486870692,5856.271841494794,5835.793426846155,5719.776410922535
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,3766.446508374243,4387.2961639557925,4710.396970539875,4726.921022805555,4733.762697965839,4838.355067278126,4917.501491418239,4978.042327821202,5203.923036226115,5193.292896065708,5227.886870285484,5363.765107732141,5363.907018849675,5381.0268158898,5433.924399362584,5493.589758890003,5458.943361412751,5564.617956660473,5474.493528780612,5593.932090775683,5705.419131810342,5795.366314307288,5784.6541814493,5683.392412339787
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,5508.591316477785,6179.61970435865,6229.151068951314,5959.0635502325595,5860.909612843963,5936.561431811288,5925.02476002515,5869.257888759745,5598.243838476316,5496.139047484225,5574.199431847111,5685.468379982229,5906.082185676432,5950.481641690239,5854.863944216049,5804.71589119221,5707.361027006627,5757.311574326575,5637.183422239958,5608.1405325471205,5619.962070304986,5714.925295364794,5779.722719647888,5671.868994014854
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,4772.181868500342,5437.543373848462,5907.975214766652,5790.081882244412,5712.975088675046,5899.939520613291,5786.679842296097,5919.7955534885605,5963.826670565155,5909.142662128847,5904.49819728272,5870.212714221006,6036.011067569185,6046.24444302608,6032.060330767969,6074.4439428792875,6052.189159436476,6087.517287167782,6068.819618261287,6042.750064922782,5986.4204023186385,6053.37668378563,6118.353259577587,6096.693429408288
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,4714.657165829833,5656.116296188072,6111.060346940907,5939.297586519024,5790.4969422464865,6088.693521521876,5994.297927547861,6074.428772734398,6150.6768459997475,6177.4279661453875,6265.622778913818,6350.022414428968,6517.0276448377335,6509.764448670844,6495.037329833032,6589.878639481163,6595.13532206512,6661.884873091886,6692.205308711977,6663.206287806905,6613.744244842245,6717.491265700151,6828.264202377962,6809.636731779507
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,4195.192633736289,4867.073754072913,5308.906494970467,5402.922823580141,5425.760296252643,5565.870097611484,5485.382022628307,5462.658864051911,5517.194285463933,5534.348126785424,5528.873703529492,5606.4280061575055,5727.590423003235,5790.143588534724,5782.36007200867,5873.390399917312,5881.798319155032,5957.799594120001,5963.322385968705,5921.17258002229,5871.968406441717,5958.442287368952,6045.454885088944,6049.239526072691
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,4179.253372870714,4808.688188996527,5321.235789083053,5341.52475773445,5305.553876512506,5422.0215130254555,5307.4824254615705,5285.3303101240435,5313.555466225993,5366.016648981097,5418.422787688199,5473.407935288041,5558.0470593042055,5573.829853631594,5545.692941825086,5622.016660538859,5616.03771032018,5677.720610227997,5681.321952234503,5646.062514405791,5590.0912769499755,5657.260038263011,5739.8421970419795,5752.999337274932
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,mean,4083.185885734966,4617.247054963413,4995.277836890489,5006.04569567102,5021.172279309716,5206.542841294342,5095.81886442634,5093.199118305147,5143.283207633478,5169.493802210382,5161.613441346984,5221.044535045121,5306.770776468092,5320.5720779755975,5318.277788010496,5378.619784250573,5385.0690642983955,5467.7453172164505,5464.309429885972,5409.018338187814,5350.347833645897,5390.7807335678635,5450.438522858715,5455.0971761224255
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,mean,4077.9354586245754,4643.85493409527,5086.051811345218,5133.807329301458,5117.580497788274,5210.737987876589,5117.598435821835,5086.508694433237,5114.741805650229,5131.371280855311,5132.433230601378,5197.111216949019,5282.31000815413,5305.419970538901,5285.541460445334,5354.655857234319,5344.868973827256,5414.557480384333,5408.2355378680695,5369.04192461688,5322.620539223357,5384.766680888702,5455.772227495038,5468.060511676536
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,mean,4103.994971255625,4680.83684811595,5144.218140938002,5150.899032048756,5139.910401362421,5252.95400631192,5153.321919022998,5125.844061996883,5157.699491075105,5169.1483803772935,5174.803845238142,5234.608124767787,5330.102470002269,5368.106749320294,5342.622349556796,5410.4300349154055,5406.972001679841,5470.557752561485,5457.106133345959,5408.140812899789,5349.437223211984,5409.978013203703,5480.690450497216,5491.646101329338
PARp-A_w_2,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,mean,4114.6424196318685,4666.359029294948,5121.981960857138,5123.6306847539245,5118.841771000553,5236.833861444632,5146.9710165864335,5126.259555206571,5162.83575639413,5170.939496935889,5173.272741321618,5228.170169840471,5318.857929454222,5357.067854229994,5330.198390077085,5402.870131426895,5402.18135356481,5465.405172789491,5450.719897314008,5400.339985595897,5340.442134210243,5398.669533804706,5470.477039635833,5483.968477183205
PARp-A_w_4,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,mean,4060.4219852484234,4588.020158718914,4993.6752964465895,5007.037647121715,4998.154296277996,5144.086499852637,5087.689278148148,5099.529402115132,5155.352325359921,5158.397009976212,5147.448425702498,5180.496302917995,5227.521071414429,5266.1872679489015,5240.449591984887,5323.743639995956,5351.172864961532,5426.757707476875,5419.939610625232,5365.8397398025645,5313.705311414358,5361.219077195968,5421.86122631979,5431.43486207199
PARp-A_w_11,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SeasonalNaive,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SeasonalNaive,mean,8796.742242424241,8840.860548780487,8826.595276073618,8679.343518518517,8658.367453416151,8675.791250000002,8695.623333333335,8724.02601265823,8726.113757961786,8764.510833333336,8796.405225806455,8841.470584415587,8526.958758169932,8582.320197368419,8561.885761589405,8500.251999999999,8453.256241610738,8504.958783783783,8446.129727891153,8448.775342465751,8493.154620689653,8545.160138888887,8562.502027972025,8583.902112676053
SeasonalNaive,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARIMA,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
