model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1551.6695000000002,2142.4628301886796,2431.8998101265825,2531.4963057324844,2579.8137179487185,2601.359290322581,2666.5492857142854,2683.0114379084966,2738.4174342105266,2716.4535761589405,2737.2273333333333,2742.1342281879197,2759.2144594594592,2735.1391156462582,2736.2965068493154,2744.296827586207,2752.5979166666666,2727.8860839160843,2728.8720422535216,2770.303120567376,2806.2224285714287,2833.2656115107916,2858.7154347826086,2834.673138686132
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1547.6374999999998,2141.394402515724,2454.566392405063,2540.2886624203825,2581.6047435897435,2586.0267741935486,2635.5799350649354,2630.005424836602,2695.2370394736845,2681.9976821192054,2698.9468,2699.5374496644295,2729.283243243243,2700.666190476191,2704.9240410958905,2728.418896551724,2733.601388888889,2717.868601398602,2711.176267605634,2757.68609929078,2794.201428571429,2814.158992805756,2832.121666666667,2827.9348905109496
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,2256.7792001690386,2592.3769809635814,2737.4398445080474,2937.65503623962,3213.816684995887,3490.83962240301,3706.134813663544,3394.9468725263337,3157.9715083192436,3015.5397838174204,2951.806796054724,2952.3981152573097,3073.144090484683,2963.704164996555,2846.448014447635,2773.233913434788,2758.6666695856393,2583.3858960860357,2648.922217989648,2739.1837114783707,2762.355181761083,2724.79982142511,2715.3312017169883,2778.0153597212256
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
