model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,0.039283693622791716,0.07172356047425986,0.09123830211200913,0.11331467574043111,0.16164185067728704,0.20737458218988586,0.19891728572102407,0.2002107323687981,0.21389754478004297,0.20587427694793287,0.2125326684900497,0.22742701776197877,0.2235444480401549,0.23157890289756236,0.24419450182937907,0.23775743948283737,0.2500602868158889,0.24179756293341234,0.23836584729035193,0.24574418250594343,0.250968649244079,0.24933375493330526,0.2460470446002293,0.2354338922574489
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,0.037977277468152035,0.08035314562581627,0.09796610052294916,0.10506094093245746,0.15740493853975313,0.15673907322059213,0.18529493628117094,0.18417958920990485,0.20912713333290434,0.2033440075755321,0.18919939064128988,0.20067245106996326,0.20337228447879785,0.21771342761655285,0.23442621188550825,0.22407968460957975,0.23058660312164644,0.22864276197788297,0.22177984492469088,0.22821019100820958,0.23950555023706138,0.23292688347943605,0.2352789408265203,0.23226779162739974
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,0.033822131005872495,0.07038954926396553,0.04742568908791244,0.07532352529278982,0.10188926769320653,0.13190219567752812,0.14047547083479817,0.13905340578688877,0.13544836450137882,0.12394653333314284,0.10281790632222705,0.10039493033548398,0.10008176775784787,0.11643642532405474,0.13319000453612434,0.12941135987048855,0.11591830314308646,0.09113649386955269,0.10296707042171195,0.11648293473606024,0.11976132808701642,0.10822071584542176,0.11377165176247453,0.11645002363317418
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,0.052811796258730795,0.07463260239757097,0.09857643220548454,0.10808299388486482,0.13208600636035947,0.12103492995464948,0.14662201122636512,0.1594687683515349,0.1673564011093639,0.15099708995304117,0.14481053016052545,0.14281791291675108,0.17081271278126664,0.19066584330558217,0.1913158364380268,0.18379688494221202,0.19120392161717586,0.1847489590128982,0.16547057772123164,0.16392395057526796,0.16498210206076158,0.16764758937494537,0.1700368986725176,0.172748388478794
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,median,0.03470413353490572,0.08492305901461786,0.12176703649917783,0.1253911387308328,0.16043293736532097,0.1542213765938272,0.16087801607146668,0.16935512512948864,0.2047068815066947,0.20420482358285116,0.1924672299919432,0.18848280341354604,0.21237887764669305,0.2194003154416222,0.22575044483390316,0.22277099865787164,0.2165086223778365,0.219620093827422,0.21459486218277518,0.21934381676245007,0.22149105317500317,0.22356838503019305,0.2205421827149463,0.2180408804037131
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,median,0.03371302852351445,0.07689862097325975,0.09350887639400063,0.1245034077097389,0.12782225365440017,0.14854303787260567,0.14608752337377565,0.14442308231176487,0.15840169438313112,0.15476396138795837,0.15636788941717167,0.1645470057682666,0.20109211244755643,0.19770619084643548,0.19912497168182958,0.20676278422524533,0.20766961133903664,0.2095085266206966,0.19800566578518763,0.20381893893818806,0.20117012878512286,0.205558207999762,0.2014557991659678,0.1986847128142522
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,median,0.029748721248827985,0.07215593022305289,0.09174064068332438,0.12288271742744633,0.12811926077638452,0.14109554240994265,0.14953931261136516,0.16069723301036432,0.18596657534671607,0.1838574322527489,0.1806948414254555,0.18657059386403596,0.21354074535692275,0.20284300157353705,0.2054930772616072,0.20285078050401248,0.20859179495647037,0.2035622552723533,0.20164348009773636,0.2007415244575214,0.1959620128493056,0.19175249875999842,0.19336590659908515,0.19218901478669365
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,median,0.027314314877731304,0.08266781988282224,0.1084953561217222,0.12814423680328296,0.15381584327037265,0.16111090116114724,0.1507101003657244,0.17773609606405738,0.18389952356500366,0.18948510945454636,0.19685819066447574,0.20457650027582455,0.22046236694678722,0.21703481082956105,0.21724174228149934,0.21416339099753667,0.21708766792872997,0.2158326521235242,0.20105436543061905,0.20830482329306074,0.20210916182713765,0.1952440162211733,0.19591710782556435,0.19602574749401222
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,median,0.029229366652838398,0.07328418849446587,0.1028765399901452,0.13561290420217373,0.14366352738259602,0.1662602755979287,0.16709879339528544,0.18258039836346127,0.19320170514709245,0.18628023867915838,0.19103008068411484,0.2036586292896343,0.22889360902840922,0.23127879992634182,0.2337891261173443,0.2229333281397685,0.23696352143542504,0.24383220508613176,0.21914507996988866,0.22701332088676582,0.21689430583017838,0.2089717775370527,0.21837957798529756,0.21604259427489728
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,median,0.035306798686368046,0.07902421220405609,0.10209276254325544,0.13312243695437143,0.156139740410585,0.17251855937239563,0.18086393701435688,0.1842209593770575,0.2114240540650881,0.20341258369399812,0.20148225152497706,0.21915536533818425,0.2366911787428441,0.23114433955554284,0.23121403534723897,0.23182605823889946,0.2290690768659362,0.23258606013494326,0.22055240098568735,0.22636958881132846,0.22493338965896975,0.2183912824605257,0.22650556211182568,0.2249740023674496
PARp-A_w_2,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,median,0.0324384111969932,0.0745861137314562,0.10416025251544939,0.13223365703103102,0.1515370574731837,0.1687993453062349,0.167212717531185,0.18291983913973464,0.21179637321798067,0.20003864685150544,0.20122302909176504,0.20862045820374317,0.22743993447405825,0.22866621046610586,0.2277504620940664,0.223578521844276,0.22846750318067763,0.2284661457188283,0.21744837258616562,0.22316656192679948,0.22257145938707656,0.218041048078753,0.22524238796358576,0.22321723013174838
PARp-A_w_4,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
