model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,594.1679999999997,936.5355,605.0837500000007,767.5120000000006,403.23800000000074,564.5949999999993,552.2659999999996,514.4985000000006,802.5987499999997,496.52999999999975,499.90875000000005,511.78050000000076,384.7917499999994,481.7615000000005,653.3652500000003,555.067,598.5972500000003,624.1480000000001,512.6277500000001,560.4094999999998,466.39924999999994,611.5329999999994,528.7397499999997,377.5475000000006
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,740.3564999999999,984.7724999999991,791.1347499999993,1045.6720000000005,845.8727499999995,628.0165000000006,762.1232500000006,832.5425000000014,1066.67825,897.1880000000001,683.0897500000001,467.4359999999997,375.4972499999999,513.7254999999996,713.6937499999995,549.0535,558.0369999999998,604.9994999999999,501.1439999999998,573.7754999999997,462.6167499999997,647.2575000000006,559.902,349.08799999999883
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,1358.765193065752,1103.6824317625915,1281.1794373427106,1665.387803954538,1159.325835252112,743.9090846472818,1207.0792705156123,1767.8878961614064,1744.797117372997,1741.052418344836,1418.5620657342815,1644.041719822615,1889.3378297939025,1598.6917464317257,1630.5545561661106,1588.6505995933458,1464.7281950682914,1480.0741186995765,1685.911424087708,1817.396707819129,1636.6913020942961,1589.7776468071897,1540.273590253787,1681.0803074208825
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
