model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,5307.262121212119,6330.937865853657,6856.9776073619605,7044.826666666666,6983.108012422358,7027.763937499997,7207.937861635215,7237.286645569618,7544.230700636938,7460.7768589743555,7439.2644516128985,7608.002467532464,7714.584901960783,7691.064671052629,7689.223907284765,7862.757266666663,7727.818187919461,7895.257094594594,7683.444897959182,7955.585205479449,8150.165517241376,8290.507361111107,8232.277972027969,8093.045845070421
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,5240.276787878785,6196.8590853658525,6709.093680981592,6838.65209876543,6802.895962732915,6894.864062499994,7097.300628930813,7149.940443037971,7406.650191082797,7366.108269230764,7334.996709677414,7478.848961038956,7599.382026143786,7538.803355263154,7589.753311258275,7802.820999999999,7693.40906040268,7860.615472972969,7651.61959183673,7935.065205479449,8118.2444137931,8254.77694444444,8205.981748251746,8055.508661971828
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,7182.821109315687,8147.821429490603,8280.570697153098,8230.506634178326,8130.0342800872895,8163.477662486611,8241.585954276847,8214.095116138818,7835.128915114116,7726.448337784887,7806.970405366325,7965.808999475447,8256.5087556089,8349.270364566752,8218.405687450238,8222.779796084791,8043.972813316447,8172.279397676311,8012.785582634544,7964.650715723023,8038.713585656618,8161.799109911074,8202.08345227278,8057.843496426287
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,6565.7304791176575,7457.088656645956,8160.0647422490065,8116.916006747732,8022.080301395418,8302.183280537733,8132.127412473887,8274.9108570456,8306.155846072028,8293.860915099489,8264.847457823389,8311.468292246896,8554.338634313808,8467.612079174767,8432.73505544785,8542.256030327371,8484.130166302546,8535.378524095036,8527.07117353145,8511.572047925623,8416.540211633694,8526.103637282293,8577.208412909804,8573.255734773165
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,6510.908153849999,7917.162932749906,8621.833681939372,8418.813381609638,8219.213569152942,8608.879578004093,8488.562873641371,8559.942646387148,8540.446431477621,8606.658081902959,8772.37744154049,8977.524218803037,9169.399700623471,9156.915250510852,9109.783015748835,9292.475903889632,9251.863980906588,9341.738115901064,9306.823923600257,9318.494657011475,9235.479344526231,9421.301162389182,9503.634209075697,9525.081061967407
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,5836.777898897719,6853.418627686267,7533.464609819842,7696.503938496298,7795.738434706216,7914.240479047554,7895.404034888024,7863.7072047937445,7871.762101316566,7890.897490260094,7837.077063909497,7986.738765962564,8157.3730852953,8184.183826062913,8186.371553353834,8374.478832193294,8373.087409646365,8494.385217133375,8508.0585276594,8441.971013816183,8405.69430762889,8523.54327617089,8564.611524565245,8578.9836072617
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
