model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1531.371212121212,2126.1915853658534,2421.110429447852,2520.9490740740735,2572.7687577639745,2596.2688749999993,2664.5277987421387,2682.2093670886075,2738.686496815287,2717.181538461538,2737.935032258065,2747.9424025974026,2765.477581699346,2741.2347368421056,2744.9279470198667,2754.1224666666667,2763.1807382550332,2736.821216216216,2739.089523809523,2780.120342465753,2815.5687586206896,2844.199652777778,2867.2102097902093,2842.9264084507035
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1524.3977575757579,2120.7263414634144,2439.0050306748462,2527.8233950617278,2569.1936024844717,2578.0967499999992,2629.7524528301888,2626.7953164556957,2696.3621656050955,2684.1248717948715,2701.508709677419,2705.177987012987,2736.4330065359477,2708.1135526315784,2714.2002649006613,2738.6371333333323,2744.583422818791,2728.358378378378,2722.121496598639,2767.4148630136983,2803.4864137931027,2823.982152777777,2839.9833566433567,2836.9465492957747
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,2144.1156704547557,2607.329020501755,2696.5711191884843,2817.118875908118,2983.0434205260062,3005.231620854519,3060.3944779183885,2919.0856011706396,2780.776906504416,2692.2761032690064,2753.2506183949035,2848.7984645161464,2949.8786207554713,2871.2956850622422,2740.258153097471,2684.1663348075685,2670.097655268014,2562.9565955786647,2602.687890934309,2668.0357987209845,2718.6055729553914,2763.9940254061607,2809.648778292395,2823.1829070799117
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
