model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,581.0130178749998,737.7568337500002,896.023666625,983.1325617499999,1114.793778875,1163.26857,1236.770583125,1360.08022325,1423.4893303749998,1476.298934,1553.2216937499995,1593.1986122500005,1633.4310225,1713.7993797499994,1731.4836846249998,1752.0862489999997,1654.82259025,1672.12501725,1676.427702125,1703.3480395000001,1807.1180026249995,1827.77346025,1877.8569042499998,1837.5975465
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,502.054188875,726.6233589999999,832.9575835,920.3936567499999,930.404912,967.2094872499996,990.2728798749998,1037.17239875,1070.5770555,1114.8028190000002,1175.6459453750003,1247.9536815000001,1300.4800691249998,1364.87074375,1435.256715625,1456.498586,1423.4784722499999,1400.3959814999998,1463.4300628749997,1468.9230664999995,1551.03548375,1589.47850025,1610.5008579999999,1652.115354
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,490.8575443986117,733.0291770090481,839.006624429722,876.6316252388308,861.4304628538073,1008.5850811559768,1025.9195367761868,962.5110577601201,984.1448544323905,971.5868586168988,989.677578896292,1007.5710464446599,1097.4971877360022,1091.8904448127078,1109.4471959725456,1017.6286449837836,1079.6528431150446,1068.7393205808833,1112.6066933864881,1158.449652114742,1048.5727547394774,1052.7137117403709,1062.3169591919802,1091.6240503554789
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
