model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,2958.7952966818175,3356.1850947149405,3372.4637285475446,3348.654667262346,3366.5732125015534,3459.765246084377,3538.3161015393084,3550.326695034811,3453.2850447818482,3437.7330840608965,3456.0021510096776,3476.82817893344,3496.69855614706,3509.867743166119,3506.6905570264894,3525.0032555899993,3541.0608499597306,3543.450058753378,3551.311596938775,3556.371913594178,3586.369340451724,3573.2647322656235,3585.911287667833,3602.744771357395
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,2978.703231334849,3399.2830855640227,3396.4728516963187,3369.9357160478385,3367.0667841040367,3450.18113305625,3525.662603152515,3522.560204207277,3432.3210686385337,3429.481880671473,3452.175828116128,3452.444578694804,3461.5955140735314,3478.1456843355254,3471.6893758046344,3495.327134944999,3527.0600454932887,3531.1897772010134,3539.6592634982994,3549.690454958904,3579.198977813793,3564.225288970487,3574.067874472028,3599.062185758803
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,4352.855211244296,4685.439343211757,4225.341370375835,4248.662889842387,3959.202338374553,3854.73488466922,3910.9263934271207,3821.751054100759,3705.6984355482177,3640.1681121529746,3644.1876882819097,3641.5950232104046,3584.0560379652284,3615.4140189549776,3594.215858943347,3600.004313765287,3609.4197857240715,3600.7237060632046,3618.957406529665,3619.1042543371545,3626.0915323290565,3618.313126810903,3612.281458849478,3629.6772610455337
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,3769.6317434074485,4109.717541217979,3882.7814377397735,3707.569229173602,3702.0359348765032,3649.604966199723,3717.081504923194,3681.122622369012,3531.2669575574946,3499.7711459833117,3516.9054797802946,3511.1238216750844,3493.1400813042655,3528.7494529099517,3566.5543788987475,3559.507110465297,3583.2778784727448,3588.3414537783515,3581.496046279966,3596.685846373967,3594.8410396979484,3593.38560198775,3583.6167971382256,3590.4467429442784
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
